UID,Site ID,State,Date Collected,Chlorophyll A,Dissolved Inorganic Nitrogen,Ammonia,Nitrate/Nitrite,Total Nitrogen,Total Phosphorus,Dissolved Inorganic Phosphate,Waterbody Name,NCCR Region,EPA Region,Province,NCA Region,Latitude,Longitude
274,NCCAGL10-1023,MI,6/22/2010,1.03,0.349,0.004,0.345,0.375625,0.0,0.009,Lake Superior,Great Lakes,5,Great Lakes Province,Great Lakes,46.730769,-89.968199
275,NCCAGL10-1022,MI,6/22/2010,2.19,0.351,0.005,0.346,0.398125,0.0,0.008,Lake Superior,Great Lakes,5,Great Lakes Province,Great Lakes,46.730769,-89.968199
276,NCCAGL10-1016,MI,6/24/2010,0.87,0.301,0.002,0.299,0.448,0.005658375,0.016,Lake Superior,Great Lakes,5,Great Lakes Province,Great Lakes,46.58884,-85.0206
277,NCCAGL10-1014,MI,6/21/2010,0.63,0.351,0.003,0.348,0.380625,0.0,0.008,Lake Superior,Great Lakes,5,Great Lakes Province,Great Lakes,47.042887,-88.981274
278,NCCA10-1655,FL,6/21/2010,13.04,0.041,0.041,0.0,1.0525,0.645046,0.003,Peace River,Gulf,4,West Indian Province,Gulf Coast,26.99446,-81.98368
279,NCCA10-1653,FL,6/22/2010,12.97,0.026,0.001,0.025,0.724375,0.083614375,0.029,Tarpon Bay,Gulf,4,West Indian Province,Gulf Coast,26.45907,-82.0686
280,NCCA10-1652,FL,6/23/2010,3.98,0.024,0.0,0.024,0.393125,0.081200625,0.067,Charlotte Harbor,Gulf,4,West Indian Province,Gulf Coast,26.80377,-82.10062
281,NCCA10-1651,FL,6/21/2010,5.39,0.023,0.0,0.023,0.56375,0.27603875,0.246,Peace River,Gulf,4,West Indian Province,Gulf Coast,26.95485,-82.08015
282,NCCA10-1649,FL,6/23/2010,2.85,0.02,0.0,0.02,0.726875,0.022869375,0.007,Matlacha Pass,Gulf,4,West Indian Province,Gulf Coast,26.64263,-82.11173
283,NCCA10-1648,FL,6/22/2010,2.54,0.029,0.0,0.029,0.289375,0.028940625,0.019,San Carlos Bay,Gulf,4,West Indian Province,Gulf Coast,26.45745,-82.01519
284,NCCA10-1306,FL,6/23/2010,3.55,0.405,0.01,0.395,0.6145,0.02549125,0.034,Apalachicola River,Gulf,4,Louisianian Province,Gulf Coast,29.73819,-84.99049
285,NCCA10-1304,FL,6/22/2010,3.47,0.015,0.0,0.015,0.275625,0.014610875,0.004,St. George Sound,Gulf,4,Louisianian Province,Gulf Coast,29.78026,-84.71817
286,NCCA10-1302,FL,6/22/2010,1.1,0.015,0.0,0.015,0.35475,0.012084375,0.006,St. George Sound,Gulf,4,Louisianian Province,Gulf Coast,29.85594,-84.63249
287,NCCA10-1301,FL,6/23/2010,20.39,0.018,0.004,0.014,0.513625,0.048562375,0.049,Apalachicola Bay,Gulf,4,Louisianian Province,Gulf Coast,29.61065,-85.031
288,NCCA10-1300,FL,6/23/2010,10.41,0.026,0.005,0.021,0.477,0.0370935,0.008,Apalachicola Bay,Gulf,4,Louisianian Province,Gulf Coast,29.66086,-85.0387
290,NCCAGL10-1163,OH,6/7/2010,52.48,2.188,0.006,2.182,2.934,0.11570625,0.009,Lake Erie,Great Lakes,5,Great Lakes Province,Great Lakes,41.73081,-83.445511
322,NCCA10-1322,LA,6/22/2010,18.06,0.019,0.0,0.019,0.695625,0.076263125,0.013,Timbalier Bay,Gulf,6,Louisianian Province,Gulf Coast,29.1555,-90.4717
332,NCCAGL10-1155,NY,7/10/2010,6.59,0.159,0.009,0.15,0.4175,0.00624,0.004,Lake Erie,Great Lakes,2,Great Lakes Province,Great Lakes,42.64548,-79.13895
333,NCCAGL10-1152,NY,7/11/2010,3.72,0.17,0.014,0.156,0.38625,0.0056875,0.003,Lake Erie,Great Lakes,2,Great Lakes Province,Great Lakes,42.75307,-78.92969
335,NCCAGL10-1138,NY,7/8/2010,6.68,0.157,0.005,0.152,0.53875,0.00881125,0.004,Lake Erie,Great Lakes,2,Great Lakes Province,Great Lakes,42.73214,-78.97104
336,NCCA10-1154,NC,6/29/2010,1.5,0.012,0.002,0.01,0.265375,0.027395,0.01,Pamlico Sound,Southeast,4,Carolinian Province,East Coast,35.19618,-75.75257
337,NCCA10-1153,NC,7/7/2010,9.47984,0.012,0.0,0.012,0.485,0.09164625,0.064,Neuse River,Southeast,4,Carolinian Province,East Coast,35.04115,-76.5439
338,NCCA10-1163,NC,6/23/2010,19.9,0.006,0.006,0.0,0.916875,0.052929375,0.021,Pungo River,Southeast,4,Carolinian Province,East Coast,35.51242,-76.58978
